seed,fold,model,rmse,mae,r2,converged,warnings
20250916,4,random_forest,0.028945469933154184,0.023154711047194562,0.21300465231671228,True,
20250917,0,mixed_linear,0.03126801511460104,0.02588854286519092,-0.03707210668112526,True,
20250917,0,mixed_hinge18,0.03171587773919551,0.02603236034317285,-0.06699355749916092,True,
20250917,0,ridge,0.029323381352001153,0.024425632722750938,0.08791266773579998,True,
20250917,0,random_forest,0.028365678445710658,0.022855200628906506,0.1465173874821485,True,
20250917,1,mixed_linear,0.036420651482352434,0.02921654261232629,-0.032037583077633824,True,
20250917,1,mixed_hinge18,0.036654095085640416,0.029404312329938828,-0.04530998084554794,True,
20250917,1,ridge,0.035615798919391074,0.02804549288945998,0.01307199126039682,True,
20250917,1,random_forest,0.0347109796245702,0.026509869777989584,0.06258082206174786,True,
20250917,2,mixed_linear,0.03239146092438695,0.026878352611817338,-0.40317647815061,True,
20250917,2,mixed_hinge18,0.03250186694482644,0.026968444347799964,-0.4127582102967773,True,
20250917,2,ridge,0.02902016843630793,0.024576172208951447,-0.12629221267163304,True,
20250917,2,random_forest,0.025865188686664882,0.02219465465965111,0.10528951745506976,True,
20250917,3,mixed_linear,0.03455345426904318,0.02654364386082377,0.0766471146614418,True,
20250917,3,mixed_hinge18,0.03447689131592378,0.026426983685447065,0.08073448035020081,True,
20250917,3,ridge,0.03464594645602727,0.02674274685557172,0.07169726335462512,True,
20250917,3,random_forest,0.03459857778251903,0.026368621426201458,0.07423391850174343,True,
20250917,4,mixed_linear,0.03480454529905868,0.028723373928018863,0.011227047720766992,True,
20250917,4,mixed_hinge18,0.0347125512894095,0.028659589907671652,0.016447111664057545,True,
20250917,4,ridge,0.03416681519649451,0.027868287852336623,0.04713001632252023,True,
20250917,4,random_forest,0.03214712137200624,0.025242170298567092,0.1564538861266791,True,
20250918,0,mixed_linear,0.03013293925503224,0.024116165237609084,0.0019224372875599194,True,
20250918,0,mixed_hinge18,0.03028586373367684,0.02432520536115125,-0.008233743563169416,True,
20250918,0,ridge,0.03077059629239146,0.02522826794439002,-0.040766069350382184,True,
20250918,0,random_forest,0.029167232412297486,0.023725770823309775,0.06487052766144508,True,
20250918,1,mixed_linear,0.03259770375054317,0.02670443551948267,-0.012645166195226043,True,
20250918,1,mixed_hinge18,0.032764750577880336,0.02667406790046434,-0.023050352481883474,True,
20250918,1,ridge,0.030756681304270898,0.02476833828049784,0.09850728393393893,True,
20250918,1,random_forest,0.027822354280181802,0.0223813686471946,0.2623148689382294,True,
20250918,2,mixed_linear,0.03339166083136122,0.027190356252091413,-0.19678985343108435,True,
20250918,2,mixed_hinge18,0.03340150804586272,0.02705916649271311,-0.19749582515061026,True,
20250918,2,ridge,0.032763071931963594,0.026715286224283544,-0.15215547571985844,True,
20250918,2,random_forest,0.03007198890567577,0.024208554834742883,0.029342169344719338,True,
20250918,3,mixed_linear,0.035069754595381364,0.029442004819915397,-0.11871809095615404,True,
20250918,3,mixed_hinge18,0.035135532552222,0.029316780061215693,-0.12291863368669187,True,
20250918,3,ridge,0.0323843843689412,0.026338138604098244,0.046048053726557514,True,
20250918,3,random_forest,0.030674787239480333,0.02382724644217436,0.14410926391250733,True,
20250918,4,mixed_linear,0.03852576720137766,0.030120123631030556,-0.021017718384830353,True,
20250918,4,mixed_hinge18,0.03861027938409188,0.030302300231224964,-0.02550214975162657,True,
20250918,4,ridge,0.03672259152124487,0.029296939387859714,0.0723218438723583,True,
20250918,4,random_forest,0.03729976867297506,0.028939216305039248,0.04293163004226919,True,
20250919,0,mixed_linear,0.03554420607764686,0.028684722107559464,0.002799758794122198,True,
20250919,0,mixed_hinge18,0.03556389093028868,0.028747681876283987,0.0016949275108057993,True,
20250919,0,ridge,0.03515585056778688,0.02841309187272105,0.024471508259559238,True,
20250919,0,random_forest,0.033287890890643344,0.02633054371968321,0.12538424345141397,True,
20250919,1,mixed_linear,0.03329826622193054,0.027096114626025656,-0.11443466616452724,True,
20250919,1,mixed_hinge18,0.03346012890027814,0.0271583719204377,-0.12529552029096558,True,
20250919,1,ridge,0.031132153215938558,0.025891964821249544,0.025841355091353102,True,
20250919,1,random_forest,0.029954046986812408,0.02384042170666309,0.09817476419837945,True,
20250919,2,mixed_linear,0.031720690257259064,0.025675562426419146,-0.013641820607025457,True,
20250919,2,mixed_hinge18,0.03174779622239913,0.025610187607650974,-0.015374915247524212,True,
20250919,2,ridge,0.031841756043409816,0.02548816996616454,-0.021393954974676888,True,
20250919,2,random_forest,0.029843323430253085,0.02306168739173796,0.1027909756322225,True,
20250919,3,mixed_linear,0.035453301153907775,0.028078407902298853,-0.0042380251759004395,True,
20250919,3,mixed_hinge18,0.035423870628388344,0.028123533889487327,-0.0025714392925129115,True,
20250919,3,ridge,0.034503220540296746,0.02736777588682305,0.04886410786946649,True,
20250919,3,random_forest,0.033455548454389354,0.026404522419614575,0.10574863843959836,True,
20250919,4,mixed_linear,0.032852184007472106,0.02698679853062219,-0.10274640696771487,True,
20250919,4,mixed_hinge18,0.03319574454826169,0.02709588000952131,-0.1259315424070726,True,
20250919,4,ridge,0.029876625268031528,0.02422261342395744,0.08796766097955566,True,
20250919,4,random_forest,0.028091065285734285,0.022367948616742274,0.1937242902733377,True,
20250920,0,mixed_linear,0.034796572887603,0.027076277304130356,-0.1379953805773062,True,
20250920,0,mixed_hinge18,0.03502668858968156,0.027245078479967214,-0.15309666681136846,True,
20250920,0,ridge,0.032257698208982145,0.024603500059913255,0.022010249543540028,True,
