target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
ANY,unweighted,20460830,qc_pass,high,0.375,0.0935550935550935,0.9807642985380868,0.1497504159733777,0.8833333333333337,0.2727272727272727,0.0555555555555555,490.0,54.0,11.0,,,,,,,,,,,,,,,
ANY,unweighted,20460830,overall,three_way,,,,,,,,,,,0.8052370154410973,0.1947629845589029,0.1813195119317568,0.7791599179354283,0.0260770975056689,0.391304347826087,0.0889328063241107,0.8997408464757892,0.6808300395256919,0.3191699604743084,0.1658273029532564,0.7919045179547228,123.0,470.0,12.0
T13,group_class_weighted,20460830,overall_qcfail_negative,low,0.4285714285714285,0.0405405405405405,0.9976331360946744,0.074074074074074,0.9574829931972788,0.5,0.0434782608695652,605.0,23.0,2.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20460830,overall_qcfail_negative,high,1.0,0.0405405405405405,1.0,0.0779220779220778,0.959750566893424,1.0,0.0434782608695652,605.0,23.0,1.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20460830,qc_pass,low,0.3333333333333333,0.0524475524475524,0.99645975926363,0.0906344410876132,0.9656392694063928,0.5,0.0625,496.0,16.0,2.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20460830,qc_pass,high,1.0,0.0524475524475524,1.0,0.0996677740863787,0.9690639269406393,1.0,0.0625,496.0,16.0,1.0,,,,,,,,,,,,,,,
T13,group_class_weighted,20460830,overall,three_way,,,,,,,,,,,0.8266169960047514,0.1733830039952489,0.1711154302991038,0.8249163157326425,0.0017006802721088,1.0,0.0405405405405405,0.96481468149302,0.6918918918918917,0.308108108108108,0.0738228129143667,0.8307410538179769,110.0,494.0,1.0
T18,group_class_weighted,20460830,overall_qcfail_negative,low,0.0,0.0,0.9861501687289088,0.0,0.9087787495950758,0.0,0.0,605.0,46.0,8.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20460830,overall_qcfail_negative,high,0.0,0.0,0.9942175196850394,0.0,0.9162131519274374,0.0,0.0,605.0,46.0,3.0,,,,,,,,,,,,,,,
T18,group_class_weighted,20460830,qc_pass,low,0.0,0.0,0.984826512927528,0.0,0.9081539465101104,0.0,0.0,505.0,40.0,8.0,,,,,,,,,,,,,,,
